epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5787,1.78949,4.25306,1.29108,0.22821,0.15182,0.20428,0.1334,1.64568,3.14728,1.24041,2.727e-05,2.727e-05,2.727e-05
2,148.026,1.78517,2.71959,1.17313,0.47279,0.31307,0.34797,0.20794,1.50614,2.49077,1.11841,5.94304e-05,5.94304e-05,5.94304e-05
3,218.299,1.62402,1.78898,1.11404,0.72773,0.41117,0.53532,0.30377,1.4975,1.98994,1.09102,8.67913e-05,8.67913e-05,8.67913e-05
4,406.072,1.54488,1.56285,1.05548,0.69634,0.60376,0.69142,0.42235,1.35736,1.51133,1.05672,0.000109353,0.000109353,0.000109353
5,482.468,1.46139,1.19046,1.0624,0.6689,0.62763,0.78024,0.48341,1.27119,1.50634,1.02694,0.000127115,0.000127115,0.000127115
6,556.67,1.4303,1.24264,1.02399,0.6546,0.67051,0.76343,0.48978,1.20832,1.24553,0.99128,0.000140077,0.000140077,0.000140077
7,625.806,1.49489,1.21183,1.04034,0.81928,0.72617,0.78321,0.50243,1.18004,1.13402,0.97998,0.00014824,0.00014824,0.00014824
8,695.024,1.40328,1.00221,0.98244,0.77593,0.77301,0.79163,0.51108,1.17608,1.05735,0.98357,0.000151603,0.000151603,0.000151603
9,764.031,1.35563,0.98778,0.9572,0.78531,0.75973,0.80479,0.51267,1.22157,1.00724,1.00468,0.000150167,0.000150167,0.000150167
10,832.353,1.24268,0.96575,0.95533,0.72611,0.77845,0.8017,0.5129,1.22633,0.95648,1.01694,0.000143931,0.000143931,0.000143931
11,901.97,1.30212,0.90763,0.98625,0.77773,0.78555,0.79322,0.50573,1.20149,0.96896,1.00369,0.000132896,0.000132896,0.000132896
12,971.398,1.28697,0.87286,0.96959,0.80907,0.8481,0.82474,0.53116,1.19092,0.90992,0.99091,0.000117061,0.000117061,0.000117061
13,1040.71,1.33435,0.83832,0.97283,0.8448,0.81706,0.82574,0.52456,1.2214,0.87279,0.99044,9.64267e-05,9.64267e-05,9.64267e-05
14,1110.36,1.28165,0.81581,0.96034,0.84781,0.81622,0.82178,0.52338,1.22657,0.85751,0.99139,7.09929e-05,7.09929e-05,7.09929e-05
15,1230.34,1.22089,0.77312,0.96003,0.86663,0.81361,0.81945,0.52257,1.2133,0.85377,0.99148,4.07596e-05,4.07596e-05,4.07596e-05
