epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3161.4,1.07932,0.57997,0.92012,0.82667,0.7811,0.81646,0.48172,1.30646,0.71992,1.18741,0.000294061,0.000294061,0.000294061
43,3233.35,1.05909,0.56884,0.91822,0.81345,0.78936,0.82735,0.48392,1.31451,0.70405,1.18459,0.000279063,0.000279063,0.000279063
44,3303.01,0.93547,0.56608,0.90658,0.81894,0.80451,0.82916,0.48427,1.3049,0.68244,1.17581,0.000264064,0.000264064,0.000264064
45,3373.28,1.06481,0.57303,0.89441,0.82038,0.80493,0.83247,0.49582,1.28703,0.66368,1.16323,0.000249066,0.000249066,0.000249066
46,3443.42,1.13359,0.60441,0.91119,0.81623,0.80571,0.83498,0.50326,1.26471,0.64692,1.15286,0.000234068,0.000234068,0.000234068
47,3512.47,1.03316,0.57143,0.88897,0.78789,0.84426,0.84544,0.51343,1.25919,0.63503,1.15363,0.000219069,0.000219069,0.000219069
48,3583.92,1.11584,0.55524,0.89593,0.79081,0.83254,0.84722,0.513,1.26501,0.63843,1.15934,0.00020407,0.00020407,0.00020407
49,3652.92,0.98514,0.55732,0.91598,0.8148,0.81075,0.84782,0.50503,1.27147,0.64087,1.16008,0.000189072,0.000189072,0.000189072
50,3722.06,0.96903,0.5555,0.90982,0.81516,0.80905,0.84227,0.49357,1.29046,0.63905,1.1709,0.000174074,0.000174074,0.000174074
51,3789.09,1.00185,0.57755,0.90232,0.81501,0.81404,0.83931,0.49781,1.29013,0.64032,1.16891,0.000159075,0.000159075,0.000159075
52,4758.87,1.0666,0.5693,0.90873,0.81764,0.82163,0.84425,0.49229,1.2879,0.62838,1.16906,0.000144077,0.000144077,0.000144077
53,5188.46,1.00395,0.547,0.90798,0.83041,0.81565,0.84766,0.49919,1.27923,0.62178,1.16303,0.000129078,0.000129078,0.000129078
54,5258.24,1.01709,0.54189,0.88451,0.83633,0.81513,0.85379,0.51086,1.2764,0.6154,1.166,0.00011408,0.00011408,0.00011408
55,5327.65,0.9194,0.52883,0.88142,0.83785,0.81315,0.85849,0.51666,1.27927,0.61105,1.17312,9.9081e-05,9.9081e-05,9.9081e-05
56,5396.86,0.98317,0.52188,0.89389,0.84015,0.81206,0.85628,0.51393,1.27409,0.61353,1.163,8.40825e-05,8.40825e-05,8.40825e-05
57,5467.4,0.98177,0.50877,0.89581,0.81812,0.84327,0.85925,0.51997,1.27218,0.61778,1.15903,6.9084e-05,6.9084e-05,6.9084e-05
58,5537.72,0.9998,0.50625,0.87913,0.84175,0.82752,0.86055,0.51694,1.2733,0.61989,1.15805,5.40855e-05,5.40855e-05,5.40855e-05
59,5606.7,0.90057,0.49697,0.89079,0.83701,0.83017,0.85935,0.51762,1.2722,0.6206,1.15508,3.9087e-05,3.9087e-05,3.9087e-05
60,5676.28,0.97513,0.50309,0.87633,0.83793,0.82887,0.85972,0.51897,1.27238,0.61945,1.15327,2.40885e-05,2.40885e-05,2.40885e-05
